book,num,title,title2,originalTitle,composer,composer2,author,author2,theme
JEM,1,J'aime l'Eternel,Il a délivré mon âme de la mort,I love the Lord,"Evers, Katrina",Katrina Evers,Katrina Evers,Katrina Evers,Dieu
JEM,2,Quand je vois le ciel,"Qu'est donc l'homme, ô Éternel ?",Naar jeg ser,Inconnu,Inconnu,Inconnu,Inconnu,Adoration
JEM,3,L'Eternel est mon berger,Je ne manquerai de rien,,"Aubert, Philippe",Philippe Aubert,"Aubert, Philippe",Philippe Aubert,Dieu
JEM,4,Éternel ! Fais-moi connaître tes voies,Car Tu es le Dieu de mon salut,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Repentance
JEM,5,Je t'instruirai et je te montrerai,,,"Kuen, Alfred",Alfred Kuen,"Kuen, Alfred",Alfred Kuen,Exhortation
JEM,6,Quand on tourne vers lui les regards,On est rayonnant de joie,,"Ingle, Michael",Michael Ingle,"Ingle, Michael",Michael Ingle,Exhortation
JEM,7,Fais de l'Eternel tes délices,Recommande ton sort à l'Éternel,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Exhortation
JEM,8,Offre pour sacrifice à Dieu,Invoque-moi au jour de la détresse,,"Schaerer, Daniel",Daniel Schaerer,"Schaerer, Daniel",Daniel Schaerer,Exhortation
JEM,9,"O Dieu, crée en moi un cœur pur",,,"Jacot, Hermine",Hermine Jacot,"Jacot, Hermine",Hermine Jacot,Repentance
JEM,10,Rejette ton fardeau sur l'Eternel,,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Exhortation
JEM,11,Car ta bonté vaut mieux que la vie,,Thy lovingkindness,"Mitchell, Hugh",Hugh Mitchell,"Mitchell, Hugh",Hugh Mitchell,Louange
JEM,12,Béni soit l'Eternel Dieu,Que toute la terre soit remplie de sa gloire !,Blessed be the Lord,"Powell, Shirley",Shirley Powell,"Powell, Shirley",Shirley Powell,Dieu
JEM,13,Car tu es grand,Et tu opères des prodiges,For Thou art great,Inconnu,Inconnu,Inconnu,Inconnu,Dieu
JEM,14,Poussez vers l'Eternel des cris de joie,,,"Whipple, Gayle",Gayle Whipple,"Whipple, Gayle",Gayle Whipple,Joie et célébration
JEM,15,Ouvre mes yeux,,,Thorens,Thorens,Thorens,Thorens,Prière
JEM,16,Quand l'Eternel ramena les captifs,L'Éternel a fait pour nous de grandes choses,When the Lord restored,"Harding, John",John Harding,"Harding, John",John Harding,Louange
JEM,17,Ah ! Qu'il est doux pour des frères,,Hiné Matov,Mélodie hébraïque,Mélodie hébraïque,"Glardon, Christian",Christian Glardon,Unité
JEM,18,"Sonde-moi, ô Dieu",,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Repentance
JEM,19,L'Eternel combattra pour vous,,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Combat spirituel
JEM,20,"Fortifiez-vous, ayez du courage",,,"McGowen, Linda",Linda McGowen,"McGowen, Linda",Linda McGowen,Exhortation
JEM,21,"Parle, Eternel",,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Prière
JEM,22,L'Eternel est mon rocher,,,"McGowen, Linda",Linda McGowen,"McGowen, Linda",Linda McGowen,Louange
JEM,23,Si mon peuple s'humilie,,,"Squire, Cyril",Cyril Squire,"Squire, Cyril",Cyril Squire,Repentance
JEM,24,La joie du Seigneur,,The joy of the Lord,Inconnu,Inconnu,Inconnu,Inconnu,Joie et célébration
JEM,25,Confie-toi en l'Eternel,Reconnais-le dans toutes tes voies,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Exhortation
JEM,26,Car un enfant nous est né,,For unto us a child is born,Inconnu,Inconnu,Inconnu,Inconnu,Jésus-Christ
JEM,27,"Ne crains rien, car je suis avec toi","Je te fortifie, je viens à ton secours",,"Hogen, John van den",John van den Hogen,"Hogen, John van den",John van den Hogen,Exhortation
JEM,28,Quand les montagnes s'éloigneraient,"Mon amour, oui mon amour",,"Hogen, John van den",John van den Hogen,"Hogen, John van den",John van den Hogen,Adoration
JEM,29,Invoque-moi et je te répondrai,,Call unto me,Inconnu,Inconnu,Inconnu,Inconnu,Exhortation
JEM,30,Invoque-moi et je te répondrai,,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Exhortation
JEM,31,Notre Dieu est capable de nous délivrer,,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Combat spirituel
JEM,32,"On t'a fait connaître, ô homme, ce qui est bien",,,"Devenoges, Paulette",Paulette Devenoges,"Devenoges, Paulette",Paulette Devenoges,Repentance
JEM,33,L'Eternel ton Dieu est au milieu de toi,,,"McGowen, Linda",Linda McGowen,"McGowen, Linda",Linda McGowen,Joie et célébration
JEM,34,"Non par puissance, non par force",,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Exhortation
JEM,35,Cherchez d'abord le royaume de Dieu,,Seek ye first the Kingdom,"Lafferty, Karen",Karen Lafferty,"Lafferty, Karen",Karen Lafferty,Exhortation
JEM,36,"Ne crains pas, crois seulement",,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Exhortation
JEM,37,Mon âme exalte le Seigneur,,,"McGowen, Linda",Linda McGowen,"McGowen, Linda",Linda McGowen,Adoration
JEM,38,Gloire à Dieu au plus haut des cieux,,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Dieu
JEM,39,Car Dieu a tant aimé le monde,,,"Jacot, Hermine",Hermine Jacot,"Jacot, Hermine",Hermine Jacot,Appel
JEM,40,Je vous donne un commandement,,A new commandment,Inconnu,Inconnu,Inconnu,Inconnu,Exhortation
JEM,41,Demeurez en moi,Je suis le vrai cep,,"McGowen, Linda",Linda McGowen,"McGowen, Linda",Linda McGowen,Exhortation
JEM,42,Je n'ai ni argent ni or,,Silver and gold,Inconnu,Inconnu,Inconnu,Inconnu,Jésus-Christ
JEM,43,Toutes choses concourent au bien,,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Foi et confiance
JEM,44,Il y a un seul corps,,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Unité
JEM,45,Jésus-Christ est Seigneur,,He is Lord,Inconnu,Inconnu,Inconnu,Inconnu,Combat spirituel
JEM,46,Réjouissez-vous toujours,,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Joie et célébration
JEM,47,Que votre douceur soit connue,,,"Maire, Christiane",Christiane Maire,"Maire, Christiane",Christiane Maire,Exhortation
JEM,48,Mon Dieu pourvoira à tous vos besoins,,,"Suter, Heinz",Heinz Suter,"Suter, Heinz",Heinz Suter,Foi et confiance
JEM,49,Il a dépouillé les dominations,,,"Schaerer, Daniel ; Meyer, M.",Daniel Schaerer ; M. Meyer,"Schaerer, Daniel ; Meyer, M.",Daniel Schaerer ; M. Meyer,Combat spirituel
JEM,50,Que la parole de Christ,,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Exhortation
JEM,51,Ce n'est pas un esprit de timidité,,,"Hogen, John van den",John van den Hogen,"Hogen, John van den",John van den Hogen,Exhortation
JEM,52,Jésus-Christ est le même,,,"Stamp, Alain",Alain Stamp,"Stamp, Alain",Alain Stamp,Jésus-Christ
JEM,53,L'herbe sèche et sa fleur tombe,,,"Meyer, Patrick",Patrick Meyer,"Meyer, Patrick",Patrick Meyer,Dieu
JEM,54,Déchargez-vous sur lui,,,"Suter, Heinz",Heinz Suter,"Suter, Heinz",Heinz Suter,Exhortation
JEM,55,L'amour de Dieu a été manifesté,,"The love of God / 1 Jean 4,9","McGowen, Linda",Linda McGowen,"McGowen, Linda",Linda McGowen,Appel
JEM,56,Nous savons que le Fils de Dieu est venu,,,"McGowen, Linda",Linda McGowen,"McGowen, Linda",Linda McGowen,Jésus-Christ
JEM,57,À celui qui nous aime,,,"Hogen, John van den",John van den Hogen,"Hogen, John van den",John van den Hogen,Adoration
JEM,58,Tu es Seigneur,,Thou art worthy,"Mills, Pauline",Pauline Mills,"Mills, Pauline",Pauline Mills,Adoration
JEM,59,"Alléluia, rendons gloire à Dieu",,"Hallelujah, for the Lord","Garratt, Dale",Dale Garratt,"Garratt, Dale",Dale Garratt,Joie et célébration
JEM,60,"Grand Dieu, nous te bénissons",,"Sun of my soul, Thou Savior Dear ","Ritter, Peter",Peter Ritter,"Empeytaz, Henri-Louis",Henri-Louis Empeytaz,Adoration
JEM,61,Bénissons Dieu,,"Lobe den Herren, den mächtigen König der Ehren",Recueil de Stralsund,Recueil de Stralsund,"Neander, Joachim",Joachim Neander,Louange
JEM,62,Entonnons l'hymne de victoire,,,"Haendel, Georg Friedrich",Georg Friedrich Haendel,"Clottu, F.-G.",F.-G. Clottu,Combat spirituel
JEM,63,Toi qui disposes,,Crusader's Hymn,Air silésien,Air silésien,"Sautter, Blanche",Blanche Sautter,Foi et confiance
JEM,64,Louez l'Eternel,Alléluia ! Louez l'Éternel,,"Schulz, K.",K. Schulz,"Schulz, K.",K. Schulz,Louange
JEM,65,Les cieux et la terre,,O Worship the King all glorious above,"Mozart, Wolfgang Amadeus",Wolfgang Amadeus Mozart,"Budry, Edmond Louis",Edmond Louis Budry,Louange
JEM,66,Dieu tout-puissant,De tout mon être alors s'élève un chant,How great Thou art,Mélodie russe,Mélodie russe,"Arnera, Hector",Hector Arnera,Adoration
JEM,67,Gloire à Dieu,"Gloire à Dieu, notre Créateur",Praise to the Lord,"Vulpius, Melchior",Melchior Vulpius,Chants évangéliques,Chants évangéliques,Louange
JEM,68,"Seigneur, que n'ai-je mille voix",,Lyngham,"Jarman, Thomas",Thomas Jarman,"Saillens, Ruben",Ruben Saillens,Louange
JEM,69,Mon âme éclate d'allégresse,Oui Dieu a fait de grandes choses,,Mélodie russe,Mélodie russe,"Benoit, Claire-Lise de",Claire-Lise de Benoit,Louange
JEM,70,À Dieu soit la gloire,Gloire à Dieu,To God be the glory,"Doane, William-Howard",William-Howard Doane,"Schürer, Mlle E.",Mlle E. Schürer,Louange
JEM,71,"Dans ton amour, divin Sauveur",,And can it be,"Campbell, Thomas",Thomas Campbell,"Arnera, Hector",Hector Arnera,Adoration
JEM,72,Torrents d'amour et de grâce,,Ebenezer,"Williams, Thomas John",Thomas John Williams,"Saillens, Ruben",Ruben Saillens,Adoration
JEM,73,L'amour de Dieu,L'amour de Dieu de loin surpasse,The Love of God,"Lehman, Frederick Martin",Frederick Martin Lehman,"Benoit, Claire-Lise de",Claire-Lise de Benoit,Adoration
JEM,74,J'ai l'assurance,C'est mon histoire,Blessed assurance,"Knapp, Aline-J.-F.",Aline-J.-F. Knapp,"Crosby, Fanny J.",Fanny J. Crosby,Foi et confiance
JEM,75,Je sais…,Je ne sais pourquoi dans sa grâce,I know,"Mac Granahan, James",James Mac Granahan,"Guillod, Georges",Georges Guillod,Louange
JEM,76,O grâce merveilleuse,Nous n'avons qu'un seul sujet de gloire,Wonderful Grace of Jesus,"Lillenas, Haldor",Haldor Lillenas,"Benoit, Claire-Lise de",Claire-Lise de Benoit,Louange
JEM,77,"Oui, le bonheur et la grâce","Pèlerin, j'errais loin de mon Père",Surely goodness and mercy,"Peterson, John W.",John W. Peterson,"Peterson, John W.",John W. Peterson,Adoration
JEM,78,Salutation de Pâques,Le Seigneur est réellement ressuscité,,"Squire, Cyril",Cyril Squire,"Squire, Cyril",Cyril Squire,Jésus-Christ
JEM,79,À toi la gloire,,Thine be the glory,"Haendel, Georg Friedrich",Georg Friedrich Haendel,"Budry, Edmond Louis",Edmond Louis Budry,Louange
JEM,80,"Il va venir, le Seigneur que j'adore","Gloire à toi seul, Seigneur Jésus",Oh that will be glory for me,"Gabriel, Charles Hutchinson",Charles Hutchinson Gabriel,Bonne Nouvelle,Bonne Nouvelle,Louange
JEM,81,La force est en Christ,Veux-tu briser,There is Power in the Blood,"Jones, Lewis Edgar",Lewis Edgar Jones,"Guillod, Georges",Georges Guillod,Combat spirituel
JEM,82,Viens et vois,Tout est mirage,,Mélodie russe,Mélodie russe,"Benoit, Claire-Lise de",Claire-Lise de Benoit,Exhortation
JEM,83,Entre tes mains j'abandonne,"Oui, prends tout Seigneur !",I surrender all,"Weeden, Winfield Scott",Winfield Scott Weeden,"Rochedieu, Charles",Charles Rochedieu,Consécration
JEM,84,Tel que je suis sans rien à moi,,Woodworth,"Bradbury, W. B.",W. B. Bradbury,"Elliot, Charlotte",Charlotte Elliot,Appel
JEM,85,Consécration,"A toi, Seigneur",,"Benoit, Claire-Lise de",Claire-Lise de Benoit,"Benoit, Claire-Lise de",Claire-Lise de Benoit,Consécration
JEM,86,C'est un rempart que notre Dieu,,Ein feste Burg ist unser Gott,"Luther, Martin",Martin Luther,"Lutteroth, Ascan Henri Theodore",Ascan Henri Theodore Lutteroth,Combat spirituel
JEM,87,Le saint combat,Pour porter le glaive,,"Roberts, C.",C. Roberts,"Benoit, Claire-Lise de",Claire-Lise de Benoit,Combat spirituel
JEM,88,Veille et prie,,,Air d'avant 1675,Air d'avant 1675,"Siordet-Ruckert, J.",J. Siordet-Ruckert,Exhortation
JEM,89,Oh ! Que ton joug est facile,,"Now, on land and sea descending","Bortniansky, Dimitri",Dimitri Bortniansky,"Maison, Mme de",Mme de Maison,Consécration
JEM,90,La foi renverse devant nous,,,Psautier suisse allemand,Psautier suisse allemand,"Zinzendorf, Nikolaus Ludwig von",Nikolaus Ludwig von Zinzendorf,Foi et confiance
JEM,91,Réjouis-toi,"Chrétien, réjouis-toi",,"Darwall, John",John Darwall,"Benoit, Claire-Lise de",Claire-Lise de Benoit,Joie et célébration
JEM,92,Quel ami fidèle et tendre,,What a friend we have in Jesus,"Converse, Charles Crozat",Charles Crozat Converse,"Bonnard, Emile",Emile Bonnard,Louange
JEM,93,"O Dieu, relève-nous",,Great is Thy Faithfulness,"Runyan, William Marion",William Marion Runyan,"Benoit, Claire-Lise de",Claire-Lise de Benoit,Repentance
JEM,94,Jésus demeure,Quand sur terre tout déçoit,Jesus never fails,"Luther, Arthur A.",Arthur A. Luther,"Denereaz, M.",M. Denereaz,Foi et confiance
JEM,95,Reste avec nous,,Eventide,"Monk, William Henry",William Henry Monk,"Chaponnière, Francis",Francis Chaponnière,Prière
JEM,96,Chant d'adieu,Jésus soit avec vous,God be with you till we meet again,"Tomer, William Gould",William Gould Tomer,"Rochedieu, Charles",Charles Rochedieu,Exhortation
JEM,97,Canon à 4 voix,Tous ensemble amis,,"Benoit, Claire-Lise de",Claire-Lise de Benoit,"Benoit, Claire-Lise de",Claire-Lise de Benoit,Joie et célébration
JEM,98,Rassemblement,"Seigneur, nous arrivons",,"Vercruysse, Odette",Odette Vercruysse,"Vercruysse, Odette",Odette Vercruysse,Joie et célébration
JEM,99,"Bénis, mon âme",,,Inconnu,Inconnu,Inconnu,Inconnu,Adoration
JEM,100,Bénissez son saint nom,Bénissez l'Eternel,Bless his holy name (Bless the Lord),"Crouch, Andrae",Andrae Crouch,"Crouch, Andrae",Andrae Crouch,Dieu
JEM,101,Jésus,"Oui, il mourut",Jesus,"Kerner, Debby",Debby Kerner,"Kerner, Debby",Debby Kerner,Adoration
JEM,102,Précieux Jésus,,"Holy, holy","Owens, Jimmy",Jimmy Owens,"Owens, Jimmy",Jimmy Owens,Adoration
JEM,103,"Jésus, Jésus",,Jesus Jesus,Inconnu,Inconnu,Inconnu,Inconnu,Adoration
JEM,104,Ton nom,"Ton nom, le plus beau nom",His name is the best name,"Mitchell, Hugh",Hugh Mitchell,"Mitchell, Hugh",Hugh Mitchell,Adoration
JEM,105,C'est le Sauveur de mon âme,,He's the Savior of my soul,"Kuhlman, Kathryn",Kathryn Kuhlman,"Kuhlman, Kathryn",Kathryn Kuhlman,Louange
JEM,106,O comme j'aime Jésus,,Oh how I love Jesus,Mélodie américaine,Mélodie américaine,"Whitfield, Frederick",Frederick Whitfield,Adoration
JEM,107,Merveilleux amour,,"Love, Wonderful Love","Sykes, Seth",Seth Sykes,"Sykes, Seth",Seth Sykes,Adoration
JEM,108,La plus belle des chansons d'amour,Tu es la plus belle,,"Chefneux, Noël-André",Noël-André Chefneux,"Chefneux, Noël-André",Noël-André Chefneux,Jésus-Christ
JEM,109,Pour cet immense bonheur,,Michael rowed the boat ashore,Gospel song,Gospel song,"Worm, Josiane de",Josiane de Worm,Louange
JEM,110,Je suis dans la joie,,,"Bernard, Gil",Gil Bernard,"Bernard, Gil",Gil Bernard,Joie et célébration
JEM,111,Béni soit le lien,,Dennis,"Nägeli, Hans-Georg",Hans-Georg Nägeli,"Budry, Edmond Louis",Edmond Louis Budry,Unité
JEM,112,Tu es le Dieu fidèle,"Seigneur, tu nous partages ton corps",,"Vercruysse, Odette",Odette Vercruysse,"Vercruysse, Odette",Odette Vercruysse,Sainte-cène
JEM,113,"Merci, Seigneur","Merci, Seigneur, pour ta lumière","Danke, für diesen guten Morgen","Schneider, Martin G.",Martin G. Schneider,"Schneider, Martin G.",Martin G. Schneider,Dieu
JEM,114,"Merci, Seigneur",Pour le pain qui nourrit,,Inconnu,Inconnu,"Benoit, Claire-Lise de",Claire-Lise de Benoit,Louange
JEM,115,À table,"Pour tes bienfaits, Seigneur",,"Benoit, Claire-Lise de",Claire-Lise de Benoit,"Benoit, Claire-Lise de",Claire-Lise de Benoit,Louange
JEM,116,Notre Père qui es aux cieux,,Thank you Lord for saving my soul,"Sykes, Seth",Seth Sykes,"Sykes, Seth",Seth Sykes,Sainte-cène
JEM,117,Canon à 3 voix,"Louange à toi, notre Dieu",,"Gall, St",St Gall,"Gall, St",St Gall,Dieu
JEM,118,Ne crains pas la tempête,,,Inconnu,Inconnu,Inconnu,Inconnu,Combat spirituel
JEM,119,"Vivant, vivant",Chante alléluia,,"Mitchell, Hugh",Hugh Mitchell,"Mitchell, Hugh",Hugh Mitchell,Joie et célébration
JEM,120,Proclame ton Dieu,,,Inconnu,Inconnu,Inconnu,Inconnu,Exhortation
JEM,121,Je veux chanter,,,Inconnu,Inconnu,Inconnu,Inconnu,Joie et célébration
JEM,122,Si tu bois au torrent,Quand souvent sur la route,,"Stamp, Alain",Alain Stamp,"Stamp, Alain",Alain Stamp,Appel
JEM,123,Je vais boire à longs traits,"Merveilleux, merveilleux",,"Mitchell, Hugh",Hugh Mitchell,"Mitchell, Hugh",Hugh Mitchell,Jésus-Christ
JEM,124,La bonne nouvelle,Nous vous apportons la bonne nouvelle,,"McGowen, Linda",Linda McGowen,"McGowen, Linda",Linda McGowen,Appel
JEM,125,Il est tout pour moi,Dans l'étoile,He is every thing to me,"Carmichael, Ralph",Ralph Carmichael,"Carmichael, Ralph",Ralph Carmichael,Jésus-Christ
JEM,126,De Béthléem à Golgotha,O Jésus ton amour,,"Roda, Charles",Charles Roda,"Roda, Charles",Charles Roda,Jésus-Christ
JEM,127,Attaché à la croix,Quel sauveur merveilleux,He was nailed,"Graves, F.-A.",F.-A. Graves,"Graves, F.-A.",F.-A. Graves,Adoration
JEM,128,Je ne sais pourquoi,Il quitta la gloire de son Père,I don't know why,"Crouch, Andrae",Andrae Crouch,"Crouch, Andrae",Andrae Crouch,Foi et confiance
JEM,129,Jésus m'a donné la liberté,,,Inconnu,Inconnu,Inconnu,Inconnu,Louange
JEM,130,Il vit,,He lives,"Ackley, Alfred Henry",Alfred Henry Ackley,"Ackley, Alfred Henry",Alfred Henry Ackley,Louange
JEM,131,Notre Dieu règne encore,,,"Suffield, Frederick Willington",Frederick Willington Suffield,"Suffield, Frederick Willington",Frederick Willington Suffield,Dieu
JEM,132,Dieu est un bon berger,Dieu est vraiment un bon berger,,"McGowen, Linda",Linda McGowen,"McGowen, Linda",Linda McGowen,Dieu
JEM,133,Mon Dieu est si bon,Dieu sait si bien ce qui te semble lourd,Gud vet om allt,"Hörnberg, Ingamay",Ingamay Hörnberg,"Hörnberg, Ingamay",Ingamay Hörnberg,Appel
JEM,134,"Lui, dans ses mains",C'est lui qui tient la terre,He's got the whole world,"Bernard, Gil",Gil Bernard,"Bernard, Gil",Gil Bernard,Dieu
JEM,135,"La vérité, le chemin, la vie",Né de la poussière,,"Chefneux, Noël-André",Noël-André Chefneux,"Chefneux, Noël-André",Noël-André Chefneux,Appel
JEM,136,Debout jeunesse,Il vit ! Il vit !,Mein Vater war ein Wanderm,Mélodie allemande,Mélodie allemande, , ,Exhortation
JEM,137,Jésus est le chemin,,,"Murray, E. S.",E. S. Murray,"Murray, E. S.",E. S. Murray,Jésus-Christ
JEM,138,Sur le chemin,Et maintenant saisis la main de ton Sauveur,,D'après un spiritual,D'après un spiritual,, ,Exhortation
JEM,139,"Souffle, Esprit créateur",,,"Woerden, Pierre van",Pierre van Woerden,"Benoit, Claire-Lise de",Claire-Lise de Benoit,Saint-Esprit
JEM,140,Un chrétien je voudrais être,,Lord I want to be,D'après un spiritual,D'après un spiritual,"Westphal, C.",C. Westphal,Consécration
JEM,141,J'ai choisi de suivre Jésus-Christ,En mon cœur j'ai choisi,I have decided to follow Jesus,"Singh, Sadhou Sundar",Sadhou Sundar Singh,"Benoit, Claire-Lise de",Claire-Lise de Benoit,Consécration
JEM,142,L'amour du Sauveur,,,"Foster, C. H.",C. H. Foster,"Foster, C. H.",C. H. Foster,Jésus-Christ
JEM,143,Le Seigneur est mon berger,"Alléluia, oui, partout je chanterai",,"Bernard, Gil",Gil Bernard,"Bernard, Gil",Gil Bernard,Louange
JEM,144,Ma vie,Ma vie est remplie de roses,,"Fernandez, D.",D. Fernandez,"Fernandez, D.",D. Fernandez,Consécration
JEM,145,Chaque instant de chaque jour,,Every Moment of the Day,"Loes, Harry Dixon",Harry Dixon Loes,"Loes, Harry Dixon",Harry Dixon Loes,Louange
JEM,146,Quel bonheur de marcher avec lui,,It's glory just to walk,"Lillenas, Haldor",Haldor Lillenas,"Lillenas, Haldor",Haldor Lillenas,Louange
JEM,147,L'Eternel est mon berger,De rien je ne manquerai,,"Desaedeleer, Michel",Michel Desaedeleer,"Desaedeleer, Michel",Michel Desaedeleer,Louange
JEM,148,Oh ! La paix que Jésus donne,,,"Blackmer, F.-A.",F.-A. Blackmer,"Schürer, Mlle E.",Mlle E. Schürer,Foi et confiance
JEM,149,Je marche avec Jésus,,Every day with Jesus,"Loveless, Wendell P.",Wendell P. Loveless,"Lefillatre, J.",J. Lefillatre,Consécration
JEM,150,Christ nous précédant,,,"Kuen, Alfred",Alfred Kuen,"Paul, Léon",Léon Paul,Consécration
JEM,151,Toujours content,,,Inconnu,Inconnu,"Woerden, Pierre van",Pierre van Woerden,Joie et célébration
JEM,152,Quand l'Esprit de Dieu,Je chante comme David,When the spirit of the Lord,Inconnu,Inconnu,Inconnu,Inconnu,Joie et célébration
JEM,153,"Oui, il y a une raison",,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Foi et confiance
JEM,154,Dans ces jours qui viennent,,,Mélodie traditionelle,Mélodie traditionelle,"Burnand, Alain",Alain Burnand,Foi et confiance
JEM,155,Christ est la réponse,,Christ is the Answer,"Mattby, William T.",William T. Mattby,"Mattby, William T.",William T. Mattby,Jésus-Christ
JEM,156,Crois seulement,,Only believe,"Rader, Paul",Paul Rader,"Rader, Paul",Paul Rader,Exhortation
JEM,157,J'ai confiance en mon Seigneur,,I just keep trusting my Lord,"Peterson, John W.",John W. Peterson,"Peterson, John W.",John W. Peterson,Foi et confiance
JEM,158,Par le nom de Jésus,Quand Satan nous tend un piège,"In the Name of Jesus, We have the Victory",Mélodie anglaise,Mélodie anglaise,"Benoit, Claire-Lise de",Claire-Lise de Benoit,Combat spirituel
JEM,159,Vers Jésus lève les yeux,,,Inconnu,Inconnu,Inconnu,Inconnu,Exhortation
JEM,160,Vers Jésus lève les yeux (suite),Christ est pour moi,,Inconnu,Inconnu,Inconnu,Inconnu,Jésus-Christ
JEM,161,"Viens, Esprit du Dieu vivant","Sonde-moi, courbe-moi",Spirit of the living God,"Iverson, Daniel",Daniel Iverson,"Iverson, Daniel",Daniel Iverson,Consécration
JEM,162,Allez sur les places,En quittant cette terre,,"Vercruysse, Odette",Odette Vercruysse,"Vercruysse, Odette",Odette Vercruysse,Exhortation
JEM,163,Que ta beauté,,Let the beauty of Jesus,"Caryll, Ivan",Ivan Caryll,"Caryll, Ivan",Ivan Caryll,Prière
JEM,164,La gloire du Seigneur,"Esprit de Dieu, tout au fond de mon cœur",,"Squire, Cyril",Cyril Squire,"Benoit, Claire-Lise de",Claire-Lise de Benoit,Saint-Esprit
JEM,165,Je te demande l'amour,Ma prière pour ceux qui souffrent,,"Fau, Raymond",Raymond Fau,"Fau, Raymond",Raymond Fau,Prière
JEM,166,Oh ! Prends mon âme,"Source de vie, de paix, d'amour",Hatikva,Mélodie kabyle,Mélodie kabyle,"Arnera, Hector",Hector Arnera,Prière
JEM,167,Dans le monde entier,Le Saint-Esprit agit,All over the world,Inconnu,Inconnu,"Glardon, Christian",Christian Glardon,Joie et célébration
JEM,168,Nous nous sommes rassemblés,,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Unité
JEM,169,Parle-moi,,,"Grahame, E. P.",E. P. Grahame,"Grahame, E. P.",E. P. Grahame,Prière
JEM,170,Protège-nous,Et qu'à toute heure,In Jesus name,"Mieir, Audrey",Audrey Mieir,"Mieir, Audrey",Audrey Mieir,Prière
JEM,171,Notre Père,,,"Bernard, Gil",Gil Bernard,"Bernard, Gil",Gil Bernard,Prière
JEM,172,Bénissez Dieu,,,Inconnu,Inconnu,Inconnu,Inconnu,Louange
JEM,173,Chantez au Seigneur un chant nouveau,Sa droite et son bras saint,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Exhortation
JEM,174,"Tu es ma gloire, Tu relèves ma tête","Seigneur, de ma voix je crie à toi",My glory and the lifter,"Mc Alister, Mae",Mae Mc Alister,"Mc Alister, Mae",Mae Mc Alister,Louange
JEM,175,Louons le Seigneur,,Let's just praise the Lord,"Gaither, Bill",Bill Gaither,"Gaither, Bill",Bill Gaither,Dieu
JEM,176,Je bénirai le Seigneur,Je chanterai ses louanges,,Inconnu,Inconnu,Inconnu,Inconnu,Louange
JEM,177,Que la gloire du Seigneur,,Let the glory of the Lord,Inconnu,Inconnu,Inconnu,Inconnu,Adoration
JEM,178,"Seigneur, sois au milieu de nous",,,"Humber, Frédéric",Frédéric Humber,"Humber, Frédéric",Frédéric Humber,Prière
JEM,179,Rendons gloire,Rendons gloire à Dieu notre Père,,"Burnand, Alain",Alain Burnand,"Burnand, Alain",Alain Burnand,Louange
JEM,180,"Nous chanterons pour toi, Seigneur",,,Mélodie du XVIe siècle,Mélodie du XVIe siècle,"Hameline, Daniel",Daniel Hameline,Louange
JEM,181,"Gloire à ton nom, Jésus",,Praise the name of Jesus,"Hicks, Roy",Roy Hicks,"Hicks, Roy",Roy Hicks,Adoration
JEM,182,"Moi, j'ai confiance",,,"Woerden, Pierre van",Pierre van Woerden,"Woerden, Pierre van",Pierre van Woerden,Joie et célébration
JEM,183,Le Seigneur seul est ma lumière,,,"Trunk, Roger",Roger Trunk,"Wagner, P.",P. Wagner,Foi et confiance
JEM,184,Levez vos mains,Nous te louons,Lift up your hands in holyness,"Owens, Jimmy",Jimmy Owens,"Owens, Jimmy",Jimmy Owens,Jésus-Christ
JEM,185,"Jésus, tu es ici",,He is here,"Stone, Steve",Steve Stone,"Stone, Steve",Steve Stone,Adoration
